	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
22_15513541	22	15513541	25.664	21.43412	22.385221	22.945198	20.303534	28.482981	18.982698	19.379753	35.130692	16.844637	15.722647	20.264353	18.178314	31.105202	27.596884
22_15934599	22	15934599	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16022568	22	16022568	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16022856	22	16022856	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16022940	22	16022940	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16029176	22	16029176	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16029395	22	16029395	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16030429	22	16030429	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16031207	22	16031207	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16032133	22	16032133	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16034265	22	16034265	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16034378	22	16034378	16.508717	30.494038	49.725651	50.689358	58.738739	56.58511	56.015541	25.533995	28.393293	27.873299	36.068996	39.414677	28.795605	46.089481	37.504807
22_16034728	22	16034728	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16035728	22	16035728	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16035885	22	16035885	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16036170	22	16036170	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16038281	22	16038281	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16039180	22	16039180	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16039955	22	16039955	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16040884	22	16040884	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16042446	22	16042446	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16042847	22	16042847	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16042892	22	16042892	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16044539	22	16044539	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16046106	22	16046106	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16046985	22	16046985	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16047938	22	16047938	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16048994	22	16048994	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16051193	22	16051193	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16054510	22	16054510	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16058221	22	16058221	11.342133	28.58049	22.446186	24.37233	19.675589	25.196474	16.250042	19.669516	22.886984	18.266237	14.518991	15.403213	22.130863	21.925312	19.511084
22_16064104	22	16064104	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16064423	22	16064423	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16065045	22	16065045	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16065381	22	16065381	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16066091	22	16066091	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16066263	22	16066263	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16072247	22	16072247	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16072683	22	16072683	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16074099	22	16074099	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16074298	22	16074298	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16075388	22	16075388	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16077856	22	16077856	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16078477	22	16078477	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16079838	22	16079838	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16079942	22	16079942	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16084705	22	16084705	37.592686	15.908073	11.666984	16.488827	18.331598	17.524693	6.966671	9.523044	15.00613	12.360405	3.891378	11.332568	12.065168	17.096842	11.189282
22_16090803	22	16090803	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16093268	22	16093268	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16093572	22	16093572	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16094812	22	16094812	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16095241	22	16095241	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16098381	22	16098381	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
