# Program:featureCounts v2.0.6, generated by RustQC v0.2.1
Geneid	Chr	Start	End	Strand	Length	SAMPLE1.markdup.bam
ENSG00000000001	chr1	100	200	+	100	10
ENSG00000000002	chr1	300	400	+	100	25
ENSG00000000003	chr1	500	600	-	100	5
ENSG00000000004	chr2	100	200	+	100	0
ENSG00000000005	chr2	300	400	-	100	18
ENSG00000000006	chr2	500	600	+	100	42
ENSG00000000007	chr3	100	200	+	100	7
ENSG00000000008	chr3	300	400	-	100	3
ENSG00000000009	chr3	500	600	+	100	11
ENSG00000000010	chr3	700	800	-	100	22
ENSG00000000011	chr4	100	200	+	100	9
ENSG00000000012	chr4	300	400	+	100	14
ENSG00000000013	chr4	500	600	-	100	6
ENSG00000000014	chr4	700	800	+	100	31
ENSG00000000015	chr5	100	200	-	100	2
ENSG00000000016	chr5	300	400	+	100	17
ENSG00000000017	chr5	500	600	-	100	8
ENSG00000000018	chr5	700	800	+	100	4
ENSG00000000019	chr5	900	1000	+	100	20
ENSG00000000020	chr5	1100	1200	-	100	13
