	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
21_13224688	21	13224688	0.36	0.352941	0.326733	0.348259	0.357285	0.354645	0.325337	0.380324	0.368363	0.367782	0.356613	0.363126	0.368373	0.374673	0.38176
21_13227129	21	13227129	0.28	0.352941	0.425743	0.432836	0.467066	0.485514	0.445277	0.396321	0.375062	0.366432	0.353993	0.363116	0.368318	0.374895	0.381789
21_13227353	21	13227353	0.4	0.392157	0.465347	0.437811	0.431138	0.464535	0.444278	0.39772	0.380362	0.368932	0.353913	0.362786	0.368323	0.374909	0.381781
21_13227652	21	13227652	0.52	0.490196	0.465347	0.437811	0.427146	0.396603	0.415292	0.396521	0.385261	0.370981	0.353853	0.362536	0.368328	0.374877	0.381784
21_13227809	21	13227809	0.48	0.431373	0.39604	0.368159	0.367265	0.391608	0.404798	0.396121	0.385361	0.370281	0.353773	0.362706	0.368303	0.374925	0.381787
21_13227985	21	13227985	0.28	0.27451	0.267327	0.273632	0.335329	0.355644	0.37981	0.396721	0.387261	0.369882	0.353833	0.362386	0.368288	0.374899	0.381795
21_13229171	21	13229171	0.28	0.333333	0.346535	0.333333	0.367265	0.352647	0.36082	0.377325	0.39556	0.375831	0.357873	0.362586	0.368233	0.374935	0.381769
21_13229859	21	13229859	0.4	0.352941	0.366337	0.383085	0.383234	0.371628	0.361819	0.376925	0.39706	0.373481	0.357553	0.363186	0.368158	0.374831	0.381754
21_13231256	21	13231256	0.44	0.45098	0.336634	0.363184	0.353293	0.338661	0.386307	0.39872	0.390161	0.375281	0.360413	0.363246	0.367228	0.374739	0.381793
21_13234719	21	13234719	0.24	0.235294	0.257426	0.238806	0.265469	0.330669	0.348326	0.382523	0.378262	0.374431	0.361733	0.359596	0.365263	0.374659	0.381779
21_13236257	21	13236257	0.24	0.235294	0.257426	0.258706	0.277445	0.338661	0.357821	0.35193	0.377862	0.371581	0.363033	0.360226	0.365043	0.374673	0.381779
21_13236862	21	13236862	0.32	0.235294	0.316832	0.323383	0.369261	0.416583	0.352324	0.353529	0.373063	0.366832	0.364173	0.360556	0.364813	0.374641	0.381731
21_13237791	21	13237791	0.4	0.27451	0.217822	0.218905	0.249501	0.324675	0.367316	0.361528	0.354165	0.363032	0.364833	0.360196	0.364528	0.374855	0.381681
21_13238671	21	13238671	0.68	0.607843	0.623762	0.517413	0.46507	0.422577	0.352324	0.361128	0.343366	0.363282	0.366873	0.359776	0.364628	0.374965	0.381744
21_13239963	21	13239963	0.4	0.372549	0.405941	0.368159	0.357285	0.334665	0.341329	0.340732	0.354765	0.367682	0.366793	0.360166	0.364183	0.375201	0.381697
21_13240712	21	13240712	0.4	0.45098	0.386139	0.39801	0.351297	0.33966	0.341829	0.344131	0.352765	0.366982	0.367173	0.360166	0.363968	0.375133	0.381754
21_13241182	21	13241182	0.44	0.431373	0.455446	0.437811	0.373253	0.352647	0.326837	0.336533	0.353565	0.366732	0.366573	0.360206	0.363938	0.375249	0.381767
21_13241380	21	13241380	0.44	0.509804	0.366337	0.318408	0.357285	0.328671	0.325337	0.326535	0.353865	0.366482	0.366833	0.360116	0.363948	0.375259	0.381751
21_13242941	21	13242941	0.36	0.431373	0.405941	0.368159	0.303393	0.305694	0.307346	0.352529	0.352165	0.359132	0.368673	0.358606	0.363828	0.375225	0.381874
